,BLKID,MAF_NAME,TLID_match
299,80310050022009,S Oneida St,612225557
305,80310040031006,E Dartmouth Ave,177341560
306,80310050022009,S Oneida St,612225557
308,80310083882000,E 47th Dr,640740617
309,80310037022001,E 12th Ave,177311086
310,80310046033002,S King St,177329383
311,80310014031000,S Acoma St,177331274
312,80310016003024,Arapahoe St,177305488
313,80310070893003,S Alton Way,612862560
314,80310016002048,Market St,177304452
315,80310030042031,S Lafayette St,177334036
318,80310044041003,E 14th Ave,177313526
321,80310044054069,E Lowry Blvd,627214923
325,80310014032028,S Delaware St,177332933
326,80310017011009,18th St,617188198
328,80310046011004,S Tennyson St,177327034
329,80310050022010,E Arizona Ave,612676098
330,80310119031013,S Saulsbury St,177321864
331,80310003025026,W 34th Ave,177299514
332,80310029022001,S Ogden St,177332163
333,80310011021022,Rockmont Dr,177625406
334,80310003023001,W 31st Ave,177299795
338,80310014031030,S Acoma St,177331347
339,80310017021012,Curtis St,177304431
340,80310043061013,E Cedar Ave,177339919
341,80310030031008,S Lafayette St,177332552
342,80310083892007,E Burlington Pl,644977612
344,80310155003011,E Florida Ave,177340157
345,80310030031034,S Gilpin St,177332612
347,80310017011006,Little Raven St,606066625
348,80310083892040,N Halifax Ct,606063900
349,80310016003000,Lawrence St,177304997
352,80310055034003,W Chenango Ave,177329317
353,80310044051022,S Roslyn St,177629064
355,80310017015003,Market St,177304397
357,80310037012002,E 17th Ave,177311016
359,80310120103001,W Berry Ave,177629630
360,80310024033010,Stout St,177305508
361,80310016001013,Blake St,177304961
362,80310003022012,W 29th Ave,177299896
363,80310004023017,Central St,177629759
364,80310034012024,S York St,177332043
365,80310003032005,W 31st Ave,177300919
366,80310019012015,W 11th Ave,177304320
367,80310051041010,E Mexico Ave,177339347
368,80310120101019,S Harlan St,177627958
369,80310038004018,E Bayaud Ave,612834082
370,80310017011013,Wynkoop St,177304346
371,80310055033006,S Wolff St,177390837
373,80310046034013,S King St,177329357
374,80310068091006,S Magnolia Way,177342089
375,80310003032002,W Fairview Pl,177300881
378,80310017015004,Larimer St,177304399
381,80310120142012,S Gar Way,177321555
384,80310083902014,E 41st Pl,177628352
385,80310044054020,E Severn Dr,617188163
386,80310083061005,E Beekman Pl,177370755
387,80310039022032,S Harrison St,177625277
388,80310068041014,S Yosemite St,177515791
392,80310068123010,E Girard Pl,646533573
395,80310051024008,S Dahlia St,636169410
396,80310011023022,Boulder St,646543837
398,80310017022002,15th St,177304418
400,80310045033009,Morrison Rd,636168227
401,80310041061114,N Wabash St,640737389
402,80310040023011,S Clayton St,177340705
405,80310070884008,E Mississippi Ave,611455231
407,80310045031003,S Raleigh St,177327007
409,80310120101022,S Jay Cir,606049405
413,80310027031010,E 14th Ave,177305840
415,80310157001004,S Irving St,177329531
420,80310036013018,E 33rd Ave,177305398
423,80310051041004,S Bellaire St,177339291
429,80310004024008,W Caithness Pl,177301228
431,80310068101004,E Lehigh Ave,613248982
432,80310083902006,N Genoa St,606028992
434,80310017011006,Little Raven St,606066625
435,80310040062006,S Fillmore St,177340586
436,80310041061106,N Yosemite St,617527928
437,80310046035003,S Lowell Blvd,177328106
438,80310041061135,E 29th Pl,606067829
439,80310017021035,17th St,177627635
443,80310051023005,S Fairfax St,177340172
444,80310070372014,S Emporia St,177343117
445,80310041061096,E 32nd Ave,606079977
446,80310044053010,E 5th Ave,640071701
450,80310042015006,E 19th Ave,177311183
451,80310068122007,S Poplar St,612840776
453,80310039023023,S Elizabeth St,177338939
455,80310034022009,S University Blvd,177338368
456,80310153002003,S Flamingo Ct,177340079
457,80310154001018,W 51st Ave,177298225
459,80310068114007,E Dartmouth Ave,636168975
460,80310017022002,15th St,177304418
461,80310038005010,E 5th Ave,177338222
463,80310083893104,N Flanders Way,606074673
464,80310045063008,W Kentucky Ave,177327941
465,80310046034003,S Meade St,177329340
466,80310016001013,Blake St,177304961
468,80310043063013,E Cedar Ave,612840870
469,80310019021007,Auraria Pkwy,177304092
472,80310051041003,S Clermont St,177340153
476,80310024032008,Glenarm Pl,177305547
477,80310040052000,E Colorado Ave,177338980
478,80310014023003,S Decatur St,177328346
480,80310083892023,E Burlington Pl,606065912
482,80310041061184,N Florence St,606081621
483,80310013012012,S Dale Ct,177328220
485,80319801001006,E 53rd Ave,177349771
486,80310068104001,E Jefferson Ave,612222046
487,80310003036001,W 32nd Ave,177300818
488,80310070894006,E Fairmount Dr,606034317
489,80310007023010,W 13th Ave,177301648
490,80310009033006,S Osceola St,177326536
491,80310068112007,S Wabash Ct,177343764
493,80310017011009,18th St,617188198
496,80310039023004,S Elizabeth St,177338929
497,80310013021022,W Center Ave,177330461
498,80310029021017,S Washington St,177331741
501,80310120102003,W Layton Ave,641682321
502,80310043033025,S Holly St,177339668
504,80310120102000,W Layton Ave,641682309
505,80310030041008,S York St,638611422
507,80310070892001,S Alton Way,177343098
508,80310044054038,E Severn Pl,606035490
511,80310040052002,S Clayton St,645522370
512,80310040031003,S Elm St,177341486
513,80310009042007,N Utica St,617188025
516,80310047003001,S Tennyson Way,177328830
519,80310017014007,Larimer St,177304388
