,Unnamed: 0,LATITUDE,LONGITUDE,MAF_NAME,BLKID
111751,83463,39.74208481,-104.9409058,N Colorado Blvd,80310037011020
191621,297898,39.75861376,-104.98774008,24th St,80310016002026
127954,198431,39.68415376,-104.97430132,S Corona St,80310030013007
41428,92026,39.75962834,-104.97001061,E 30th Ave,80310023001011
151551,117961,39.70552743,-105.01955695,S Canosa Ct,80310013014013
260552,92683,39.66856857,-104.90954843,S Norman Ct,80310069015008
13886,280694,39.78680492,-104.89503501,N Tamarac St,80310041071001
87695,87465,39.73608963,-104.99829016,N Santa Fe Dr,80310018001010
211123,34935,39.75266269,-104.89283011,E 24th Dr,80310041071111
47737,108264,39.74286189,-104.93519203,N Clermont St,80310042014008
313201,278975,39.78930137,-104.88702478,N Willow St,80310041071001
238867,64268,39.62931118,-105.08409540000001,S Ammons St,80310120102003
117923,40178,39.70964411,-105.02287482,S Decatur St,80310013015006
1242,207830,39.7493544,-105.00129240000001,Blake St,80310017015008
99951,215053,39.74773208,-104.98979768,California St,80310017021015
67361,24482,39.75517031,-104.99021879,22nd St,80310016002039
56345,297271,39.75268091,-105.0172706,N Alcott St,80310006001003
147514,64317,39.70647962,-104.88324257,S Alton Way,80310070893003
211036,29008,39.709257799999996,-105.00118056,S Lipan St,80310013022002
314793,278646,39.71268476,-104.99489035,W Cedar Ave,80310021003045
819,271302,39.74694599,-104.98198143,N Logan St,80310026011001
283240,190853,39.70127444,-104.96717877,S Gilpin St,80310034021012
184163,150767,39.66437547,-104.91583777,S Locust St,80310068121011
830,273134,39.74694599,-104.98198143,N Logan St,80310026011001
153872,301573,39.68252185,-104.98593206,S Lincoln St,80310030015010
96363,55255,39.74593071,-104.99957901,Lawrence St,80310017022020
61467,50606,39.7534805,-104.98866761,Arapahoe St,80310016002053
8147,299353,39.63674202,-105.08973911,S Balsam St,80310120142002
295443,219483,39.67533837,-105.03833698,S Patton Ct,80310046034006
104518,137997,39.742973299999996,-105.02571564,N Federal Blvd,80310007021008
42795,203327,39.77735125,-104.99198584,N Delaware St,80310015003018
206676,27878,39.75696866,-104.87676037,N Clinton St,80310041061164
114905,159890,39.66307544,-104.94453290000001,S Garfield St,80310040021011
299925,210781,39.66699691,-105.06987545,S Newland St,80310119031002
70952,57479,39.73949373,-104.94979218,N Steele St,80310037021000
173742,226126,39.66776527,-104.92719882,E Yale Ave,80310053001037
101215,7304,39.73265057,-104.94524735,N Monroe St,80310037032022
48961,102219,39.77558286,-105.05061279,N Yates St,80310003015003
85649,36660,39.76335513,-105.01877213,W 33rd Ave,80310004022005
126496,137904,39.72268716,-104.95505681,N Detroit St,80310038005012
123300,69253,39.73252501,-105.04911334,N Wolff St,80310009044000
24395,241209,39.76909505,-105.03199695,W 38th Ave,80310003034000
278815,183184,39.71095128,-104.91675931,S Krameria St,80310050012009
278746,178218,39.70481772,-105.04900812,W Gill Pl,80310045043009
149796,54585,39.72431375,-104.97963757,N Pearl St,80310028011006
262473,134681,39.68615196,-104.95729475,S Columbine St,80310039023020
183785,219446,39.70143937,-104.91356866,S Locust St,80310050011018
103327,19227,39.71243834,-105.01192085,W Byers Dr,80310010001043
143316,108043,39.72350161,-104.95249789,N Milwaukee St,80310038005014
152451,235191,39.66662033,-105.01807793,S Bryant St,80310156001001
45878,3273,39.76249396,-104.93419084,N Cherry St,80310041013015
303353,200628,39.691321200000004,-104.89481957,S Ulster St,80310070132001
233104,280940,39.76409072,-105.00279123,N Mariposa St,80310011021016
310643,238436,39.70114196,-104.89231029999999,S Valentia St,80310070881005
299619,166595,39.73785825,-104.90151554,N Roslyn St,80310044041009
209833,31174,39.79147197,-104.74727193,N Kirk Ct,80310083893031
262983,92997,39.74407484,-104.91486933,E 17th Avenue Pkwy,80310042025014
6001,67797,39.62914685,-104.89437359,E Union Ave,80310068042020
141417,228321,39.72284745,-104.92753549,N Forest St,80310043031016
141727,74360,39.70342763,-104.88023484,S Alton Way,80310070892003
208523,271817,39.77352897,-104.99134341,31st St,80310015003032
275067,189118,39.77591931,-104.81548629,N Fontana Way,80310083123015
276914,95471,39.78940283,-105.02014203,N Clay St,80310002011003
58136,293806,39.74959625,-104.98436295,Welton St,80310024032008
203009,23693,39.65171702,-104.92161557,S Ivanhoe St,80310040041022
47826,163817,39.78785759,-105.01153776,N Tejon St,80310002012006
292862,107496,39.76157453,-104.92855674,N Fairfax St,80310041031013
125688,115757,39.70402793,-105.04637604,S Utica St,80310045032001
196907,33205,39.75619523,-104.90028182,E 28th Ave,80310041071135
27438,285463,39.72498409,-104.98392588,E Speer Blvd,80310028013004
273510,220230,39.74596119,-104.92496409999998,N Grape St,80310042012002
206248,36608,39.74797553,-104.97956636,Park Ave,80310024032006
271050,128904,39.78325412,-104.82013283,N Durham Ct,80310083872035
221770,244271,39.75694597,-105.01378859,W 28th Ave,80310004023022
21920,61518,39.71135612,-104.95071259999999,E Alameda Ave,80310039011015
102057,179887,39.76131729,-104.96132999,N Gaylord St,80310023001001
81294,27746,39.73926695,-105.00442619,N Osage St,80310019011020
15203,265766,39.79191686,-104.89050161,E 51st Ave,80310041071001
17308,241099,39.77665374,-104.78003831,E 44th Ave,80310083882000
315812,291824,39.69684314,-104.88962061,E Mississippi Ave,80310070884008
110200,254981,39.74364611,-105.03340068,N King St,80310007025010
299684,107533,39.62955284,-105.10089694,S Gar Way,80310120141016
144392,130458,39.70987242,-104.91843177,S Jasmine St,80310050012008
70596,201765,39.73924007,-104.95659237,N Elizabeth St,80310037024002
178785,66235,39.6643061,-104.87557687,S Elmira St,80310068131000
77257,75440,39.73821685,-104.97952372,N Pearl St,80310027031006
27365,260198,39.72465292,-104.9838885,E Speer Blvd,80310028013004
300759,237347,39.78502431,-104.97635576,N Emerson St,80310015002001
86588,302705,39.74413936,-104.98038243,N Pearl St,80310026011012
39043,306978,39.77470541,-104.80493024,N Kittredge St,80310083882006
8533,225568,39.73564509,-104.9938004,W 12th Ave,80310020001031
287513,106680,39.76413172,-104.91375928,N Locust St,80310041023000
130794,161384,39.67246947,-104.95616068,S Columbine St,80310040063003
107651,261002,39.7485925,-104.99233587,Curtis St,80310017021012
138917,207701,39.66668554,-104.94105154,S Colorado Blvd,80310040021000
307253,306619,39.74294519,-104.97138522,E 17th Ave,80310031022009
31479,303021,39.78490934,-104.99216479,W 48th Ave,80310015003000
283692,97735,39.78232817,-104.82237633,N Deephaven Ct,80310083872038
36378,15287,39.77253995,-104.84375112,E 39th Ave,80310041061044
162568,94633,39.70525548,-104.92079449,S Ivy Way,80310050012022
253306,102353,39.71381122,-105.05114352,S Yates Way,80310009023009
97336,126507,39.74405872,-104.97304502,N Downing St,80310031021011
156711,208234,39.73939315,-104.91081905,N Niagara St,80310043041006
201455,23333,39.78584339,-104.76010694,E 49th Pl,80310083892047
96713,306944,39.74909001,-104.98649742,California St,80310024032014
222804,267992,39.75655012,-104.98875905,Walnut St,80310016002040
269,297915,39.70691343,-104.88768652,E Alameda Ave,80310070894006
79562,222961,39.7316584,-104.97722707,N Clarkson St,80310027022003
13416,277238,39.75297963,-105.00018268,Wynkoop St,80310017011013
85124,152460,39.73910311,-104.96384041,N Race St,80310032021003
85868,15158,39.7668856,-105.04800646,W 36th Ave,80310003025012
119286,110327,39.68666294,-104.98546109,S Sherman St,80310030015002
228635,316018,39.74649716,-104.99799096,14th St,80310017022001
268081,167637,39.70186057,-104.91989135,S Jersey St,80310050011007
57909,283164,39.74957472,-104.98422038,Welton St,80310024032008
55033,101262,39.73271477,-105.00192345,N Lipan St,80310019012010
91232,300751,39.73350094,-104.97150213,E 11th Ave,80310032012001
249775,178503,39.69799325,-104.95507798,E Tennessee Ave,80310039013019
152820,229505,39.67003517,-105.00357092,S Platte River Dr,80310156002011
59437,20579,39.73267952,-105.01977501,N Bryant St,80310008001038
208184,26651,39.75529611,-104.87611368,E 27th Ave,80310041061245
23110,1260,39.70737054,-104.87018865,S Galena Way,80310070372006
2448,53737,39.74624273,-104.99668231,15th St,80310017022002
266563,296022,39.6922706,-104.91783483,E Minnesota Dr,80310052001004
108129,81030,39.74416179999999,-104.98894747,17th St,80310017021032
107287,276428,39.74967256,-105.01859681,N Bryant St,80310006001023
15914,292497,39.71857632,-104.94900665,N Adams St,80310038002008
255712,168591,39.77724001,-105.02723425,N Grove St,80310001021022
88676,179188,39.76711825,-105.02448154,W 36th Ave,80310004026011
109811,120853,39.71389908,-105.02595484,S Grove St,80310009032011
214409,39670,39.74727229,-104.98401319,N Grant St,80310026011003
95052,201964,39.76349973,-104.96553913,E 33rd Ave,80310036013014
108466,134116,39.74833845,-104.96752535,N Gilpin St,80310031011015
291957,196653,39.7223666,-105.03935353,N Perry St,80310009035019
307638,235848,39.79370202,-104.88072427,E 52nd Dr,80310041061003
71367,46782,39.75506276,-104.99201216,Market St,80310016002048
163234,82950,39.68026265,-104.92598144,E Asbury Ave,80310051024008
233092,268435,39.76409072,-105.00279123,N Mariposa St,80310011021016
302692,187956,39.77774269,-104.81604843,N Fairplay Way,80310083123008
8825,264582,39.75030184,-104.99301993,Arapahoe St,80310017021007
265479,158917,39.77058905,-104.75767447,E 40th Ave,80310083902029
195628,268221,39.63382645,-105.08784123,S Balsam Way,80310120142007
40878,98942,39.76140858,-104.97178347,N Marion St,80310023001008
46622,36260,39.77640025,-105.03829971,N Osceola St,80310003013001
70669,60594,39.73945984,-104.95855911,N Josephine St,80310037024003
95244,148314,39.75685377,-104.95842145,E 28th Ave,80310036032038
234691,122413,39.77354434,-105.00963809,N Shoshone St,80310011014016
